#star_temp(K)rad_planet(R*)     b        x_pos   rel_intens 
   10000.00        0.05        0.50 0.575150301 0.997461278
   10000.00        0.05        0.50 0.571142285 0.997456725
   10000.00        0.05        0.50 0.567134269 0.997452248
   10000.00        0.05        0.50 0.563126253 0.997447847
   10000.00        0.05        0.50 0.559118236 0.997443519
   10000.00        0.05        0.50 0.555110220 0.997439263
   10000.00        0.05        0.50 0.551102204 0.997435077
   10000.00        0.05        0.50 0.547094188 0.997430960
   10000.00        0.05        0.50 0.543086172 0.997426910
   10000.00        0.05        0.50 0.539078156 0.997422926
   10000.00        0.05        0.50 0.535070140 0.997419007
   10000.00        0.05        0.50 0.531062124 0.997415152
   10000.00        0.05        0.50 0.527054108 0.997411359
   10000.00        0.05        0.50 0.523046092 0.997407626
   10000.00        0.05        0.50 0.519038076 0.997403954
   10000.00        0.05        0.50 0.515030060 0.997400340
   10000.00        0.05        0.50 0.511022044 0.997396784
   10000.00        0.05        0.50 0.507014028 0.997393284
   10000.00        0.05        0.50 0.503006012 0.997389840
   10000.00        0.05        0.50 0.498997996 0.997386450
   10000.00        0.05        0.50 0.494989980 0.997383114
   10000.00        0.05        0.50 0.490981964 0.997379831
   10000.00        0.05        0.50 0.486973948 0.997376599
   10000.00        0.05        0.50 0.482965932 0.997373417
   10000.00        0.05        0.50 0.478957916 0.997370286
   10000.00        0.05        0.50 0.474949900 0.997367204
   10000.00        0.05        0.50 0.470941884 0.997364169
   10000.00        0.05        0.50 0.466933868 0.997361182
   10000.00        0.05        0.50 0.462925852 0.997358242
   10000.00        0.05        0.50 0.458917836 0.997355348
   10000.00        0.05        0.50 0.454909820 0.997352498
   10000.00        0.05        0.50 0.450901804 0.997349693
   10000.00        0.05        0.50 0.446893788 0.997346932
   10000.00        0.05        0.50 0.442885772 0.997344214
   10000.00        0.05        0.50 0.438877756 0.997341538
   10000.00        0.05        0.50 0.434869739 0.997338903
   10000.00        0.05        0.50 0.430861723 0.997336310
   10000.00        0.05        0.50 0.426853707 0.997333757
   10000.00        0.05        0.50 0.422845691 0.997331244
   10000.00        0.05        0.50 0.418837675 0.997328770
   10000.00        0.05        0.50 0.414829659 0.997326334
   10000.00        0.05        0.50 0.410821643 0.997323937
   10000.00        0.05        0.50 0.406813627 0.997321577
   10000.00        0.05        0.50 0.402805611 0.997319254
   10000.00        0.05        0.50 0.398797595 0.997316968
   10000.00        0.05        0.50 0.394789579 0.997314717
   10000.00        0.05        0.50 0.390781563 0.997312502
   10000.00        0.05        0.50 0.386773547 0.997310322
   10000.00        0.05        0.50 0.382765531 0.997308176
   10000.00        0.05        0.50 0.378757515 0.997306065
   10000.00        0.05        0.50 0.374749499 0.997303986
   10000.00        0.05        0.50 0.370741483 0.997301941
   10000.00        0.05        0.50 0.366733467 0.997299929
   10000.00        0.05        0.50 0.362725451 0.997297949
   10000.00        0.05        0.50 0.358717435 0.997296001
   10000.00        0.05        0.50 0.354709419 0.997294084
   10000.00        0.05        0.50 0.350701403 0.997292198
   10000.00        0.05        0.50 0.346693387 0.997290343
   10000.00        0.05        0.50 0.342685371 0.997288518
   10000.00        0.05        0.50 0.338677355 0.997286724
   10000.00        0.05        0.50 0.334669339 0.997284958
   10000.00        0.05        0.50 0.330661323 0.997283222
   10000.00        0.05        0.50 0.326653307 0.997281515
   10000.00        0.05        0.50 0.322645291 0.997279836
   10000.00        0.05        0.50 0.318637275 0.997278185
   10000.00        0.05        0.50 0.314629259 0.997276563
   10000.00        0.05        0.50 0.310621242 0.997274967
   10000.00        0.05        0.50 0.306613226 0.997273400
   10000.00        0.05        0.50 0.302605210 0.997271859
   10000.00        0.05        0.50 0.298597194 0.997270344
   10000.00        0.05        0.50 0.294589178 0.997268856
   10000.00        0.05        0.50 0.290581162 0.997267394
   10000.00        0.05        0.50 0.286573146 0.997265958
   10000.00        0.05        0.50 0.282565130 0.997264548
   10000.00        0.05        0.50 0.278557114 0.997263162
   10000.00        0.05        0.50 0.274549098 0.997261802
   10000.00        0.05        0.50 0.270541082 0.997260466
   10000.00        0.05        0.50 0.266533066 0.997259155
   10000.00        0.05        0.50 0.262525050 0.997257869
   10000.00        0.05        0.50 0.258517034 0.997256606
   10000.00        0.05        0.50 0.254509018 0.997255367
   10000.00        0.05        0.50 0.250501002 0.997254152
   10000.00        0.05        0.50 0.246492986 0.997252960
   10000.00        0.05        0.50 0.242484970 0.997251791
   10000.00        0.05        0.50 0.238476954 0.997250646
   10000.00        0.05        0.50 0.234468938 0.997249522
   10000.00        0.05        0.50 0.230460922 0.997248422
   10000.00        0.05        0.50 0.226452906 0.997247344
   10000.00        0.05        0.50 0.222444890 0.997246288
   10000.00        0.05        0.50 0.218436874 0.997245254
   10000.00        0.05        0.50 0.214428858 0.997244242
   10000.00        0.05        0.50 0.210420842 0.997243251
   10000.00        0.05        0.50 0.206412826 0.997242282
   10000.00        0.05        0.50 0.202404810 0.997241334
   10000.00        0.05        0.50 0.198396794 0.997240408
   10000.00        0.05        0.50 0.194388778 0.997239502
